# ell   Cl_EE[μK^2]   Cl_BB[μK^2]
2.490000000000000000e+02 3.070800487196285723e-05 1.998152305567687439e-09
2.500000000000000000e+02 3.152967333081378975e-05 1.984877728830544349e-09
2.510000000000000000e+02 3.236693874893459288e-05 1.971338459654224962e-09
2.520000000000000000e+02 3.321945486623016652e-05 1.957533453178471101e-09
2.530000000000000000e+02 3.408687542260540378e-05 1.943461664543024588e-09
2.540000000000000000e+02 3.496885415796519779e-05 1.929122048887626005e-09
2.550000000000000000e+02 3.586504481221442810e-05 1.914513561352017588e-09
2.560000000000000000e+02 3.677510112525798105e-05 1.899635157075940332e-09
2.570000000000000000e+02 3.769867683700075655e-05 1.884485791199136474e-09
2.580000000000000000e+02 3.863542568734762737e-05 1.869064418861347008e-09
2.590000000000000000e+02 3.958500141620352052e-05 1.853369995202313137e-09
2.600000000000000000e+02 4.054705776347326812e-05 1.837401475361777096e-09
2.610000000000000000e+02 4.152124846906180396e-05 1.821157814479479882e-09
2.620000000000000000e+02 4.250722727287400081e-05 1.804637967695163110e-09
2.630000000000000000e+02 4.350464791481475858e-05 1.787840890148567982e-09
2.640000000000000000e+02 4.451316413478895683e-05 1.770765536979436734e-09
2.650000000000000000e+02 4.553242967270147511e-05 1.753410863327510154e-09
2.660000000000000000e+02 4.656207643309529171e-05 1.735778503126171045e-09
2.670000000000000000e+02 4.760164897906564419e-05 1.717880805483365509e-09
2.680000000000000000e+02 4.865067003834583494e-05 1.699732798300680005e-09
2.690000000000000000e+02 4.970866233866918669e-05 1.681349509479702442e-09
2.700000000000000000e+02 5.077514860776902893e-05 1.662745966922018040e-09
2.710000000000000000e+02 5.184965157337863696e-05 1.643937198529215949e-09
2.720000000000000000e+02 5.293169396323137415e-05 1.624938232202881801e-09
2.730000000000000000e+02 5.402079850506050224e-05 1.605764095844603091e-09
2.740000000000000000e+02 5.511648792659937782e-05 1.586429817355966281e-09
2.750000000000000000e+02 5.621828495558128298e-05 1.566950424638558657e-09
2.760000000000000000e+02 5.732571231973956075e-05 1.547340945593967508e-09
2.770000000000000000e+02 5.843829274680747965e-05 1.527616408123779088e-09
2.780000000000000000e+02 5.955554896451840984e-05 1.507791840129580892e-09
2.790000000000000000e+02 6.067700370060562660e-05 1.487882269512959793e-09
2.800000000000000000e+02 6.180217968280246621e-05 1.467902724175502459e-09
2.810000000000000000e+02 6.293059963884221073e-05 1.447868232018796385e-09
2.820000000000000000e+02 6.406178629645820999e-05 1.427793820944428446e-09
2.830000000000000000e+02 6.519526238338376638e-05 1.407694518853985101e-09
2.840000000000000000e+02 6.633055062735219586e-05 1.387585353649053639e-09
2.850000000000000000e+02 6.746717375609676015e-05 1.367481353231221555e-09
2.860000000000000000e+02 6.860465449735085651e-05 1.347397545502074895e-09
2.870000000000000000e+02 6.974251557884774669e-05 1.327348958363200948e-09
2.880000000000000000e+02 7.088027972832077373e-05 1.307350619716187001e-09
2.890000000000000000e+02 7.201746967350321292e-05 1.287417557462619929e-09
2.900000000000000000e+02 7.315360814212840731e-05 1.267564799504086605e-09
2.910000000000000000e+02 7.428821786192967285e-05 1.247807373742173699e-09
2.920000000000000000e+02 7.542082156064031193e-05 1.228160308078468290e-09
2.930000000000000000e+02 7.655094196599362695e-05 1.208638630414558080e-09
2.940000000000000000e+02 7.767810180572296095e-05 1.189257368652029116e-09
2.950000000000000000e+02 7.880182380756160278e-05 1.170031550692469100e-09
2.960000000000000000e+02 7.992163069924286837e-05 1.150976204437464285e-09
